sex,工作分類,職等,廠區代碼,管理層級,工作資歷1,工作資歷2,工作資歷3,工作資歷4,工作資歷5,專案時數,專案總數,當前專案角色,特殊專案佔比,工作地點,訓練時數A,訓練時數B,訓練時數C,生產總額,榮譽數,是否升遷,升遷速度,近三月請假數A,近一年請假數A,近三月請假數B,近一年請假數B,出差數A,出差數B,出差集中度,年度績效等級A,年度績效等級B,年度績效等級C,年齡層級,婚姻狀況,年資層級A,年資層級B,年資層級C,任職前工作平均年數,最高學歷,畢業學校類別,畢業科系類別,眷屬量,通勤成本,歸屬部門,加班數_sum,加班數_max,出差數A_sum,出差數B_sum,請假數A_sum,請假數B_sum,生產總額_prev1,生產總額_diff1,年度績效等級A_prev1,年度績效等級A_diff1,年度績效等級B_prev1,年度績效等級B_diff1,年度績效等級C_prev1,年度績效等級C_diff1,加班數_sum_prev1,加班數_sum_diff1,加班數_max_prev1,加班數_max_diff1,榮譽數_prev1,榮譽數_diff1,升遷速度_prev1,升遷速度_diff1
1.0,1.0,3.0,19.0,6.0,0.0,1.0,1.0,0.0,0.0,23.0,6.0,5.0,1.0,6.0,0.0,1.0,1.0,4.0,3.0,0.0,2.0,5.0,7.0,0.0,0.0,3.0,1.0,2.0,6.0,10.0,5.0,8.0,1.0,3.0,2.0,1.0,2.0,2.0,4.0,5.0,2.0,8.0,19138.0,0,0,11,5,10,0,8.0,-4.0,2.0,4.0,8.0,2.0,5.0,0.0,1.0,-1.0,1.0,-1.0,2.0,1.0,2.0,0.0
0.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,5.0,2.0,6.0,0.0,0.0,0.0,9.0,1.0,0.0,7.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,5.0,11.0,1.0,6.0,6.0,0.0,0.0,2.0,4.0,1.0,2.0,8.0,8181.0,0,0,3,0,13,0,7.0,2.0,6.0,0.0,10.0,-6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0
0.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,8.0,2.0,0.0,2.0,0.0,9.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,4.0,2.0,1.0,1.0,0.0,0.0,2.0,4.0,5.0,0.0,10.0,4010.0,5,4,3,0,12,5,10.0,-2.0,1.0,0.0,1.0,0.0,4.0,1.0,5.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0
0.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,1.0,1.0,5.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,4.0,10.0,1.0,3.0,1.0,4.0,2.0,2.0,4.0,8.0,2.0,9.0,2177.0,0,0,4,0,6,0,1.0,0.0,5.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.0,1.0,4.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,1.0,0.0,11.0,1.0,2.0,2.0,4.0,0.0,0.0,1.0,2.0,10.0,1.0,2.0,3.0,1.0,4.0,10.0,10.0,5.0,6.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,10.0,12072.0,0,0,13,2,15,4,5.0,-1.0,10.0,0.0,1.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,2.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,12.0,1.0,6.0,4.0,5.0,0.0,2.0,3.0,1.0,1.0,9.0,16070.0,0,0,0,0,14,0,0.0,0.0,2.0,4.0,8.0,-6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
0.0,1.0,7.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,0.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,5.0,10.0,0.0,0.0,1.0,0.0,1.0,10.0,10.0,5.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,7.0,1.0,8.0,13147.0,2,2,5,0,16,0,1.0,0.0,10.0,0.0,8.0,2.0,5.0,0.0,7.0,-5.0,3.0,-1.0,0.0,0.0,2.0,1.0
1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,5.0,3.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,2.0,10.0,1.0,7.0,5.0,3.0,0.0,3.0,3.0,3.0,0.0,8.0,8126.0,0,0,2,0,2,0,1.0,0.0,5.0,0.0,8.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,3.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,8.0,0.0,0.0,3.0,0.0,3.0,1.0,5.0,3.0,8.0,1.0,3.0,3.0,0.0,0.0,2.0,4.0,3.0,2.0,6.0,14105.0,0,0,13,0,12,0,3.0,-2.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,3.0,1.0
1.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,3.0,2.0,0.0,3.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,5.0,12.0,1.0,6.0,6.0,0.0,0.0,2.0,4.0,8.0,1.0,8.0,8038.0,0,0,1,0,13,0,4.0,-1.0,7.0,-3.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0
